NTASData [id=16595219058, subwayLine=YUS, stationId=COL1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.727706666666666, timeString=04.73, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219059, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=8.407651111111111, timeString=08.41, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219060, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=4.1595933333333335, timeString=04.16, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219061, subwayLine=YUS, stationId=WEL1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.645364444444445, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219062, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=9.325308888888888, timeString=09.33, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219063, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219064, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=5.1139399999999995, timeString=05.11, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219065, subwayLine=YUS, stationId=BLO1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.599711111111111, timeString=06.60, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219066, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219067, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.442513333333334, timeString=06.44, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219068, subwayLine=YUS, stationId=ROS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=7.928284444444444, timeString=07.93, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219069, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219070, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.471931111111111, timeString=07.47, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219071, subwayLine=YUS, stationId=SUM1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.957702222222222, timeString=08.96, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219072, subwayLine=YUS, stationId=STC1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219073, subwayLine=YUS, stationId=STC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595219074, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.88009111111111, timeString=08.88, trainDestination=FIN1, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
